Tiempo,Desde,Hacia
0.0,0,0
1063.3,0,1
1353.4,0,2
158.6,0,3
996.0,0,4
997.1,0,5
1342.9,0,6
1145.2,0,7
637.3,0,8
649.8,0,9
752.5,0,10
1659.0,0,11
831.1,0,12
1310.8,0,13
188.4,0,14
749.5,0,15
547.2,0,16
902.6,0,17
1210.2,0,18
1516.0,0,19
1591.7,0,20
455.8,0,21
1402.5,0,22
518.6,0,23
1667.9,0,24
1003.9,0,25
1691.1,0,26
1301.2,0,27
657.3,0,28
673.7,0,29
421.8,0,30
1020.8,0,31
1462.4,0,32
838.1,0,33
879.6,0,34
502.0,0,35
1060.1,1,0
0.0,1,1
508.1,1,2
1024.7,1,3
1240.6,1,4
815.2,1,5
825.2,1,6
1389.8,1,7
1330.1,1,8
1557.0,1,9
1445.3,1,10
813.7,1,11
606.6,1,12
465.5,1,13
1015.1,1,14
1656.7,1,15
1038.0,1,16
992.3,1,17
563.8,1,18
670.7,1,19
1074.0,1,20
763.5,1,21
557.2,1,22
1367.9,1,23
822.6,1,24
1911.1,1,25
1081.6,1,26
455.9,1,27
1122.3,1,28
703.1,1,29
847.1,1,30
545.9,1,31
617.1,1,32
1745.3,1,33
536.2,1,34
1401.7,1,35
1211.9,2,0
464.2,2,1
0.0,2,2
1176.6,2,3
1044.0,2,4
725.3,2,5
961.3,2,6
1184.9,2,7
1564.6,2,8
1708.8,2,9
1659.4,2,10
580.9,2,11
854.6,2,12
216.6,2,13
1205.0,2,14
1808.5,2,15
1286.0,2,16
871.6,2,17
648.0,2,18
421.8,2,19
1163.3,2,20
928.7,2,21
308.3,2,22
1570.1,2,23
802.7,2,24
2062.9,2,25
1165.8,2,26
540.1,2,27
1338.1,2,28
951.1,2,29
1037.0,2,30
456.4,2,31
566.0,2,32
1897.1,2,33
695.2,2,34
1553.5,2,35
129.9,3,0
964.7,3,1
1254.8,3,2
0.0,3,3
897.4,3,4
898.5,3,5
1255.7,3,6
1046.6,3,7
677.3,3,8
662.1,3,9
792.5,3,10
1560.4,3,11
732.5,3,12
1212.2,3,13
160.0,3,14
761.8,3,15
551.8,3,16
804.0,3,17
1123.0,3,18
1417.4,3,19
1504.5,3,20
368.6,3,21
1303.9,3,22
558.6,3,23
1569.3,3,24
1016.2,3,25
1603.9,3,26
1202.6,3,27
697.3,3,28
575.1,3,29
323.2,3,30
922.2,3,31
1363.8,3,32
850.4,3,33
781.0,3,34
542.0,3,35
992.6,4,0
1273.6,4,1
1511.5,4,2
957.3,4,3
0.0,4,4
924.8,4,5
1821.4,4,6
254.1,4,7
788.7,4,8
1489.5,4,9
851.7,4,10
1793.5,4,11
1130.5,4,12
1495.0,4,13
987.4,4,14
1475.9,4,15
874.0,4,16
914.6,4,17
1616.7,4,18
1700.2,4,19
2070.2,4,20
995.3,4,21
1586.7,4,22
1192.8,4,23
1832.4,4,24
1660.9,4,25
2097.6,4,26
1511.5,4,27
771.7,4,28
748.6,4,29
857.3,4,30
998.1,4,31
1553.9,4,32
1523.2,4,33
1098.9,4,34
1229.6,4,35
891.6,5,0
839.1,5,1
988.1,5,2
856.3,5,3
811.7,5,4
0.0,5,5
1333.6,5,6
952.6,5,7
1064.5,5,8
1388.5,5,9
1279.7,5,10
1270.2,5,11
696.0,5,12
945.5,5,13
886.4,5,14
1488.2,5,15
872.4,5,16
368.1,5,17
1020.3,5,18
1150.7,5,19
1535.6,5,20
703.8,5,21
1037.2,5,22
1202.3,5,23
1279.1,5,24
1742.6,5,25
1538.1,5,26
912.4,5,27
838.0,5,28
448.9,5,29
695.6,5,30
480.0,5,31
1035.8,5,32
1576.8,5,33
477.3,5,34
1239.1,5,35
1421.1,6,0
770.1,6,1
1139.3,6,2
1385.8,6,3
1861.2,6,4
1468.9,6,5
0.0,6,6
2002.1,6,7
1898.0,6,8
1918.0,6,9
2013.2,6,10
1174.1,6,11
1218.8,6,12
1148.5,6,13
1415.9,6,14
2017.7,6,15
1739.2,6,16
1646.0,6,17
406.9,6,18
1308.0,6,19
738.8,6,20
1137.9,6,21
1240.2,6,22
1779.3,6,23
1129.7,6,24
2272.1,6,25
1037.6,6,26
708.9,6,27
1782.9,6,28
1444.7,6,29
1298.4,6,30
1200.0,6,31
1041.9,6,32
2106.3,6,33
1277.8,6,34
1762.7,6,35
1119.1,7,0
1400.1,7,1
1675.7,7,2
1083.8,7,3
254.5,7,4
1089.0,7,5
1947.9,7,6
0.0,7,7
823.5,7,8
1616.0,7,9
886.5,7,10
1957.7,7,11
1257.0,7,12
1647.6,7,13
1113.9,7,14
1510.7,7,15
1000.5,7,16
1078.8,7,17
1743.2,7,18
1852.8,7,19
2196.7,7,20
1121.8,7,21
1739.3,7,22
1227.6,7,23
1996.6,7,24
1695.7,7,25
2224.1,7,26
1638.0,7,27
898.2,7,28
875.1,7,29
983.8,7,30
1162.3,7,31
1718.1,7,32
1558.0,7,33
1225.4,7,34
1264.4,7,35
802.8,8,0
1229.2,8,1
1519.3,8,2
818.4,8,3
683.0,8,4
1108.4,8,5
1777.0,8,6
735.6,8,7
0.0,8,8
1223.4,8,9
525.5,8,10
1824.9,8,11
1086.1,8,12
1476.7,8,13
891.9,8,14
1030.8,8,15
697.6,8,16
920.3,8,17
1572.3,8,18
1681.9,8,19
2025.8,8,20
950.9,8,21
1568.4,8,22
701.9,8,23
1833.8,8,24
1215.8,8,25
2053.2,8,26
1467.1,8,27
400.7,8,28
663.7,8,29
812.9,8,30
1186.7,8,31
1628.3,8,32
1078.1,8,33
1054.5,8,34
738.7,8,35
778.8,9,0
1570.0,9,1
1860.1,9,2
741.9,9,3
1502.7,9,4
1503.8,9,5
1861.0,9,6
1651.9,9,7
1174.5,9,8
0.0,9,9
1187.1,9,10
2165.7,9,11
1266.6,9,12
1817.5,9,13
637.2,9,14
406.7,9,15
1153.9,9,16
1409.3,9,17
1728.3,9,18
2022.7,9,19
2109.8,9,20
923.7,9,21
1909.2,9,22
776.5,9,23
2174.6,9,24
512.6,9,25
2209.2,9,26
1807.9,9,27
1194.5,9,28
1180.4,9,29
928.5,9,30
1527.5,9,31
1969.1,9,32
346.8,9,33
1315.1,9,34
717.6,9,35
736.3,10,0
1258.0,10,1
1548.1,10,2
751.9,10,3
792.8,10,4
1220.3,10,5
1805.8,10,6
845.4,10,7
373.2,10,8
1156.9,10,9
0.0,10,10
1853.7,10,11
1114.9,10,12
1505.5,10,13
825.4,10,14
949.6,10,15
631.1,10,16
1090.6,10,17
1601.1,10,18
1710.7,10,19
2054.6,10,20
1022.6,10,21
1597.2,10,22
635.4,10,23
1862.6,10,24
1134.6,10,25
2082.0,10,26
1495.9,10,27
571.0,10,28
834.0,10,29
887.7,10,30
1215.5,10,31
1657.1,10,32
996.9,10,33
1083.3,10,34
672.2,10,35
1604.9,11,0
770.6,11,1
676.1,11,2
1568.0,11,3
1397.4,11,4
1078.7,11,5
1154.1,11,6
1538.3,11,7
1918.0,11,8
2104.2,11,9
2012.8,11,10
0.0,11,11
1250.0,11,12
631.3,11,13
1558.4,11,14
2203.9,11,15
1681.4,11,16
1225.0,11,17
840.8,11,18
257.0,11,19
1219.0,11,20
1306.8,11,21
728.5,11,22
1965.5,11,23
276.2,11,24
2458.3,11,25
1256.4,11,26
657.2,11,27
1691.5,11,28
1305.3,11,29
1390.4,11,30
827.1,11,31
332.0,11,32
2292.5,11,33
1089.2,11,34
1948.9,11,35
780.5,12,0
783.6,12,1
1073.7,12,2
743.6,12,3
1013.7,12,4
815.9,12,5
1172.6,12,6
1162.9,12,7
1147.5,12,8
1281.5,12,9
1322.9,12,10
1379.3,12,11
0.0,12,12
1031.1,12,13
734.0,12,14
1381.2,12,15
915.6,12,16
920.3,12,17
1039.9,12,18
1236.3,12,19
1421.4,12,20
483.4,12,21
1122.8,12,22
1146.8,12,23
1388.2,12,24
1635.6,12,25
1520.8,12,26
1021.5,12,27
921.0,12,28
691.4,12,29
534.1,12,30
704.1,12,31
1182.7,12,32
1469.8,12,33
488.5,12,34
1130.2,12,35
1375.2,13,0
627.5,13,1
414.8,13,2
1339.9,13,3
1207.3,13,4
888.6,13,5
1124.6,13,6
1348.2,13,7
1727.9,13,8
1872.1,13,9
1822.7,13,10
433.8,13,11
1017.9,13,12
0.0,13,13
1368.3,13,14
1971.8,13,15
1449.3,13,16
1034.9,13,17
811.3,13,18
274.7,13,19
1326.6,13,20
1092.0,13,21
146.3,13,22
1733.4,13,23
655.6,13,24
2226.2,13,25
1329.1,13,26
703.4,13,27
1501.4,13,28
1114.4,13,29
1200.3,13,30
624.1,13,31
523.5,13,32
2060.4,13,33
862.9,13,34
1716.8,13,35
141.6,14,0
971.1,14,1
1261.2,14,2
104.7,14,3
903.8,14,4
904.9,14,5
1262.1,14,6
1053.0,14,7
683.7,14,8
645.3,14,9
798.9,14,10
1566.8,14,11
738.9,14,12
1218.6,14,13
0.0,14,14
745.0,14,15
567.0,14,16
810.4,14,17
1129.4,14,18
1423.8,14,19
1510.9,14,20
375.0,14,21
1310.3,14,22
565.0,14,23
1575.7,14,24
999.4,14,25
1610.3,14,26
1209.0,14,27
703.7,14,28
581.5,14,29
329.6,14,30
928.6,14,31
1370.2,14,32
833.6,14,33
787.4,14,34
548.4,14,35
786.3,15,0
1577.5,15,1
1867.6,15,2
749.4,15,3
1492.9,15,4
1511.3,15,5
1868.5,15,6
1557.3,15,7
1020.8,15,8
456.9,15,9
964.5,15,10
2173.2,15,11
1274.1,15,12
1825.0,15,13
644.7,15,14
0.0,15,15
1053.2,15,16
1416.8,15,17
1735.8,15,18
2030.2,15,19
2117.3,15,20
931.2,15,21
1916.7,15,22
574.3,15,23
2182.1,15,24
378.3,15,25
2216.7,15,26
1815.4,15,27
1046.7,15,28
1187.9,15,29
936.0,15,30
1535.0,15,31
1976.6,15,32
168.8,15,33
1322.6,15,34
515.4,15,35
598.7,16,0
833.7,16,1
1123.8,16,2
563.4,16,3
657.7,16,4
796.0,16,5
1381.5,16,6
806.9,16,7
715.2,16,8
1095.6,16,9
830.4,16,10
1429.4,16,11
690.6,16,12
1081.2,16,13
593.5,16,14
1124.2,16,15
0.0,16,16
767.9,16,17
1176.8,16,18
1286.4,16,19
