VehicleType,Capacity,Range
Gas Car,131.9211396722696,145.85207096486445
Gas Car,135.54452491441663,195.69089569224076
Gas Car,114.38031900663994,142.9758912915246
Gas Car,157.9011075721774,173.02304187458725
EV,86.98609179004892,1108.5120087171929
EV,87.10238029800072,906.8540492859486
EV,100.64567561406786,617.3439510684404
EV,62.88157761574977,887.5424941518055
EV,76.55364248957906,1062.8494665190547
drone,20.459879622393945,10.763088895994127
drone,32.32824384460777,14.322671098540393
drone,25.33764102343962,10.72575544135963
