Vehiculo,Desde,Hacia,Costo
V2,0.0,0.0,0.0
V2,0.0,1.0,80142.33333333333
V2,0.0,2.0,108279.83333333333
V2,0.0,3.0,6976.166666666667
V2,0.0,4.0,71299.5
V2,0.0,5.0,65392.666666666664
V2,0.0,6.0,94148.33333333333
V2,0.0,7.0,79271.33333333333
V2,0.0,8.0,42867.833333333336
V2,0.0,9.0,40968.0
V2,0.0,10.0,63156.333333333336
V2,0.0,11.0,136051.5
V2,0.0,12.0,51072.333333333336
V2,0.0,13.0,111635.83333333333
V2,0.0,14.0,7847.0
V2,0.0,15.0,43354.833333333336
V2,0.0,16.0,25977.0
V2,0.0,17.0,56489.166666666664
V2,0.0,18.0,86491.5
V2,0.0,19.0,127865.33333333333
V2,0.0,20.0,119123.66666666667
V2,0.0,21.0,31208.333333333332
V2,0.0,22.0,117883.5
V2,0.0,23.0,28708.166666666668
V2,0.0,24.0,127500.66666666667
V2,0.0,25.0,62889.333333333336
V2,0.0,26.0,133812.5
V2,0.0,27.0,107179.33333333333
V2,0.0,28.0,40764.5
V2,0.0,29.0,47115.666666666664
V2,0.0,30.0,25257.5
V2,0.0,31.0,72721.66666666667
V2,0.0,32.0,119827.16666666667
V2,0.0,33.0,52649.166666666664
V2,0.0,34.0,58046.0
V2,0.0,35.0,27577.833333333332
V2,1.0,0.0,72195.16666666667
V2,1.0,1.0,0.0
V2,1.0,2.0,38297.166666666664
V2,1.0,3.0,74977.16666666667
V2,1.0,4.0,82279.83333333333
V2,1.0,5.0,48190.833333333336
V2,1.0,6.0,59663.666666666664
V2,1.0,7.0,90251.66666666667
V2,1.0,8.0,88133.16666666667
V2,1.0,9.0,108874.0
V2,1.0,10.0,108421.66666666667
V2,1.0,11.0,66068.83333333333
V2,1.0,12.0,37177.5
V2,1.0,13.0,41653.166666666664
V2,1.0,14.0,74137.16666666667
V2,1.0,15.0,111260.83333333333
V2,1.0,16.0,65418.0
V2,1.0,17.0,55602.166666666664
V2,1.0,18.0,46513.333333333336
V2,1.0,19.0,57882.666666666664
V2,1.0,20.0,84639.0
V2,1.0,21.0,60173.5
V2,1.0,22.0,47900.833333333336
V2,1.0,23.0,90143.16666666667
V2,1.0,24.0,57518.0
V2,1.0,25.0,130795.83333333333
V2,1.0,26.0,95060.33333333333
V2,1.0,27.0,37196.166666666664
V2,1.0,28.0,69091.0
V2,1.0,29.0,47376.166666666664
