Vehiculo,Desde,Hacia,Costo
V1,0.0,0.0,0.0
V1,0.0,1.0,39474.0
V1,0.0,2.0,40222.833333333336
V1,0.0,3.0,91102.5
V1,0.0,4.0,76116.66666666667
V1,0.0,5.0,102621.83333333331
V1,0.0,6.0,99536.83333333331
V1,0.0,7.0,86308.33333333333
V1,0.0,8.0,37455.16666666666
V1,0.0,9.0,12814.0
V1,0.0,10.0,89592.66666666667
V1,0.0,11.0,85391.83333333333
V1,0.0,12.0,75908.5
V1,0.0,13.0,34061.833333333336
V1,0.0,14.0,31367.83333333333
V1,0.0,15.0,34628.333333333336
V1,0.0,16.0,21769.0
V1,0.0,17.0,20434.666666666668
V1,0.0,18.0,53473.333333333336
V1,0.0,19.0,49732.16666666666
V1,0.0,20.0,111920.0
V1,0.0,21.0,109012.5
V1,0.0,22.0,83928.0
V1,0.0,23.0,51598.66666666666
V1,0.0,24.0,59788.833333333336
V1,0.0,25.0,42787.66666666666
V1,0.0,26.0,91205.83333333331
V1,0.0,27.0,127880.5
V1,0.0,28.0,80334.33333333333
V1,0.0,29.0,77144.66666666667
V1,0.0,30.0,74940.5
V1,0.0,31.0,129661.5
V1,0.0,32.0,123505.16666666669
V1,0.0,33.0,65641.5
V1,0.0,34.0,62094.833333333336
V1,0.0,35.0,36419.0
V1,0.0,36.0,53142.16666666666
V1,0.0,37.0,14400.5
V1,0.0,38.0,56354.16666666666
V1,0.0,39.0,119421.33333333331
V1,0.0,40.0,27877.5
V1,0.0,41.0,91375.5
V1,1.0,0.0,23644.83333333333
V1,1.0,1.0,0.0
V1,1.0,2.0,29458.0
V1,1.0,3.0,58151.833333333336
V1,1.0,4.0,97107.0
V1,1.0,5.0,131367.0
V1,1.0,6.0,128282.0
V1,1.0,7.0,95778.33333333331
V1,1.0,8.0,29687.166666666668
V1,1.0,9.0,22018.666666666668
V1,1.0,10.0,69733.33333333333
V1,1.0,11.0,103435.0
V1,1.0,12.0,96898.83333333331
V1,1.0,13.0,55051.66666666666
V1,1.0,14.0,52357.66666666666
V1,1.0,15.0,55618.16666666666
V1,1.0,16.0,14522.0
V1,1.0,17.0,41424.5
V1,1.0,18.0,74463.66666666667
V1,1.0,19.0,32637.83333333333
V1,1.0,20.0,92060.66666666669
V1,1.0,21.0,89153.16666666667
V1,1.0,22.0,101821.66666666669
V1,1.0,23.0,69492.33333333333
V1,1.0,24.0,80778.66666666667
