VehicleType,Capacity,Range
Gas Car,131.9211396722696,145.85207096486445
Gas Car,135.54452491441663,195.69089569224076
Gas Car,114.38031900663994,142.9758912915246
Gas Car,157.9011075721774,173.02304187458725
Gas Car,108.73261473756115,166.27680130757895
Gas Car,108.87797537250091,136.02810739289228
Gas Car,125.80709451758482,92.60159266026606
Gas Car,78.60197201968721,133.1313741227708
Gas Car,95.69205311197382,159.42741997785822
Gas Car,98.20742218749093,107.63088895994125
EV,124.14045636329385,954.8447399026928
EV,97.29654153000814,715.0503627573087
EV,85.5478516891165,1022.1845179419732
EV,73.90092331349179,1075.1396036691344
EV,84.46773715355894,941.6612500413446
drone,21.991466938853016,20.556834553526812
drone,24.93251387631033,11.8268672131323
drone,29.112724560515943,11.337469050086934
drone,26.044317975023777,9.120989628360674
drone,18.359069755507846,15.59058370760737
drone,28.692332899977053,15.514104843569912
drone,24.421758588058797,14.096688913232134
drone,17.607390048162863,12.840467374815875
drone,22.696806145201062,18.171366678656746
drone,26.71809144784231,9.710879533911799
drone,26.620419846973974,13.84475315875105
drone,21.615389998470206,16.835028866522602
drone,30.154997612479754,17.793840357348596
drone,20.803912383886807,14.072362872446357
drone,26.65631715701782,17.926635381367078
