Vehiculo,Desde,Hacia,Costo
V1,0.0,0.0,0.0
V1,0.0,1.0,144711.16666666666
V1,0.0,2.0,147549.66666666666
V1,0.0,3.0,138736.83333333334
V1,0.0,4.0,17574.166666666668
V1,0.0,5.0,68109.83333333333
V1,0.0,6.0,122128.0
V1,0.0,7.0,147320.0
V1,0.0,8.0,93229.16666666669
V1,0.0,9.0,160474.66666666666
V1,0.0,10.0,112182.33333333331
V1,0.0,11.0,188025.0
V1,0.0,12.0,140153.33333333334
V1,0.0,13.0,48934.16666666666
V1,0.0,14.0,69177.83333333333
V1,0.0,15.0,77271.66666666667
V1,0.0,16.0,79905.5
V1,0.0,17.0,116807.16666666669
V1,0.0,18.0,92986.83333333331
V1,0.0,19.0,93222.0
V1,0.0,20.0,68819.5
V1,1.0,0.0,96572.0
V1,1.0,1.0,0.0
V1,1.0,2.0,12784.5
V1,1.0,3.0,53056.5
V1,1.0,4.0,96412.33333333331
V1,1.0,5.0,87673.0
V1,1.0,6.0,42705.66666666666
V1,1.0,7.0,70405.66666666667
V1,1.0,8.0,123110.0
V1,1.0,9.0,55139.333333333336
V1,1.0,10.0,156395.5
V1,1.0,11.0,112336.66666666669
V1,1.0,12.0,54473.0
V1,1.0,13.0,91921.0
V1,1.0,14.0,77356.0
V1,1.0,15.0,82967.83333333333
V1,1.0,16.0,34783.166666666664
V1,1.0,17.0,46281.833333333336
V1,1.0,18.0,146155.33333333334
V1,1.0,19.0,48260.66666666666
V1,1.0,20.0,117960.0
V1,2.0,0.0,108271.66666666669
V1,2.0,1.0,12346.5
V1,2.0,2.0,0.0
V1,2.0,3.0,64756.66666666666
V1,2.0,4.0,108112.5
V1,2.0,5.0,99373.16666666669
V1,2.0,6.0,47173.833333333336
V1,2.0,7.0,82105.83333333333
V1,2.0,8.0,134810.16666666666
V1,2.0,9.0,59607.5
V1,2.0,10.0,168095.66666666666
V1,2.0,11.0,124036.83333333331
V1,2.0,12.0,66173.16666666667
V1,2.0,13.0,103620.66666666669
V1,2.0,14.0,89056.16666666667
V1,2.0,15.0,94668.0
V1,2.0,16.0,46483.333333333336
V1,2.0,17.0,48758.16666666666
V1,2.0,18.0,157855.5
V1,2.0,19.0,59960.333333333336
V1,2.0,20.0,129659.66666666669
V1,3.0,0.0,112796.33333333331
V1,3.0,1.0,49276.66666666666
V1,3.0,2.0,52115.16666666666
V1,3.0,3.0,0.0
V1,3.0,4.0,112636.66666666669
V1,3.0,5.0,78061.5
V1,3.0,6.0,39432.833333333336
V1,3.0,7.0,27154.166666666668
V1,3.0,8.0,109658.0
V1,3.0,9.0,33754.333333333336
V1,3.0,10.0,142943.5
V1,3.0,11.0,69085.16666666667
V1,3.0,12.0,8470.0
V1,3.0,13.0,89459.83333333333
V1,3.0,14.0,67744.5
V1,3.0,15.0,73587.33333333333
V1,3.0,16.0,41350.0
V1,3.0,17.0,34112.0
V1,3.0,18.0,132703.33333333334
V1,3.0,19.0,49653.16666666666
V1,3.0,20.0,104507.5
V1,4.0,0.0,14342.166666666666
V1,4.0,1.0,143198.33333333334
V1,4.0,2.0,146036.83333333334
V1,4.0,3.0,137224.0
V1,4.0,4.0,0.0
V1,4.0,5.0,66596.5
V1,4.0,6.0,120615.16666666669
V1,4.0,7.0,145807.16666666666
V1,4.0,8.0,101278.0
V1,4.0,9.0,158961.83333333334
V1,4.0,10.0,120231.16666666669
V1,4.0,11.0,186512.16666666663
V1,4.0,12.0,138640.0
V1,4.0,13.0,52501.333333333336
V1,4.0,14.0,67665.0
V1,4.0,15.0,75758.83333333333
V1,4.0,16.0,78392.16666666667
V1,4.0,17.0,115294.33333333331
V1,4.0,18.0,101035.66666666669
V1,4.0,19.0,91709.16666666669
V1,4.0,20.0,76868.83333333333
V1,5.0,0.0,53182.0
V1,5.0,1.0,85558.83333333333
V1,5.0,2.0,88396.83333333333
V1,5.0,3.0,78709.66666666667
V1,5.0,4.0,53022.333333333336
V1,5.0,5.0,0.0
V1,5.0,6.0,98094.83333333331
V1,5.0,7.0,96058.83333333331
V1,5.0,8.0,72831.16666666667
V1,5.0,9.0,100447.5
V1,5.0,10.0,106117.16666666669
V1,5.0,11.0,137989.83333333334
V1,5.0,12.0,80125.66666666667
V1,5.0,13.0,25322.0
V1,5.0,14.0,23193.0
V1,5.0,15.0,30617.166666666668
V1,5.0,16.0,42932.66666666666
V1,5.0,17.0,92774.0
V1,5.0,18.0,95876.5
V1,5.0,19.0,34936.333333333336
V1,5.0,20.0,61306.66666666666
V1,6.0,0.0,104469.0
V1,6.0,1.0,42840.0
V1,6.0,2.0,45678.5
V1,6.0,3.0,38001.5
V1,6.0,4.0,104309.33333333331
V1,6.0,5.0,83801.16666666667
V1,6.0,6.0,0.0
V1,6.0,7.0,55350.66666666666
V1,6.0,8.0,131152.0
V1,6.0,9.0,24308.0
V1,6.0,10.0,164438.0
V1,6.0,11.0,97281.66666666669
V1,6.0,12.0,36446.333333333336
V1,6.0,13.0,99818.0
V1,6.0,14.0,74141.66666666667
V1,6.0,15.0,90864.83333333331
V1,6.0,16.0,42342.16666666666
V1,6.0,17.0,7670.333333333333
V1,6.0,18.0,154197.33333333334
V1,6.0,19.0,56015.333333333336
V1,6.0,20.0,126002.0
V1,7.0,0.0,140752.83333333334
V1,7.0,1.0,77233.66666666667
V1,7.0,2.0,80071.66666666667
V1,7.0,3.0,29533.666666666668
V1,7.0,4.0,140593.16666666666
V1,7.0,5.0,103382.66666666669
V1,7.0,6.0,67389.83333333333
V1,7.0,7.0,0.0
V1,7.0,8.0,119574.16666666669
V1,7.0,9.0,76606.16666666667
V1,7.0,10.0,152860.16666666666
V1,7.0,11.0,71608.16666666667
V1,7.0,12.0,36427.0
V1,7.0,13.0,127020.0
V1,7.0,14.0,90233.66666666669
V1,7.0,15.0,83503.5
V1,7.0,16.0,69306.5
V1,7.0,17.0,62068.5
V1,7.0,18.0,142619.5
V1,7.0,19.0,78049.33333333333
V1,7.0,20.0,114424.16666666669
V1,8.0,0.0,91945.0
V1,8.0,1.0,132620.0
V1,8.0,2.0,135458.5
V1,8.0,3.0,126645.66666666669
V1,8.0,4.0,101873.83333333331
V1,8.0,5.0,63734.0
V1,8.0,6.0,146030.83333333334
V1,8.0,7.0,116163.5
V1,8.0,8.0,0.0
V1,8.0,9.0,148383.5
V1,8.0,10.0,41707.0
V1,8.0,11.0,154844.33333333334
V1,8.0,12.0,128061.66666666669
V1,8.0,13.0,56301.833333333336
V1,8.0,14.0,67998.0
V1,8.0,15.0,46139.833333333336
V1,8.0,16.0,93604.5
V1,8.0,17.0,140710.0
V1,8.0,18.0,31466.33333333333
V1,8.0,19.0,72658.5
V1,8.0,20.0,36575.833333333336
V1,9.0,0.0,126240.66666666669
V1,9.0,1.0,53949.66666666666
V1,9.0,2.0,67450.66666666667
V1,9.0,3.0,44458.16666666666
V1,9.0,4.0,126081.5
V1,9.0,5.0,105573.33333333331
V1,9.0,6.0,24070.83333333333
V1,9.0,7.0,61807.333333333336
V1,9.0,8.0,152924.16666666666
V1,9.0,9.0,0.0
V1,9.0,10.0,186209.66666666663
V1,9.0,11.0,59592.0
V1,9.0,12.0,38027.833333333336
V1,9.0,13.0,121590.16666666669
V1,9.0,14.0,95913.83333333331
V1,9.0,15.0,112637.0
V1,9.0,16.0,64114.333333333336
V1,9.0,17.0,24832.0
V1,9.0,18.0,175969.5
V1,9.0,19.0,77787.5
V1,9.0,20.0,147773.66666666666
V1,10.0,0.0,112339.0
V1,10.0,1.0,169825.66666666666
V1,10.0,2.0,172663.66666666666
V1,10.0,3.0,163850.83333333334
V1,10.0,4.0,122267.83333333331
V1,10.0,5.0,101542.16666666669
V1,10.0,6.0,183236.0
V1,10.0,7.0,153369.16666666666
V1,10.0,8.0,42399.833333333336
V1,10.0,9.0,185588.66666666663
V1,10.0,10.0,0.0
V1,10.0,11.0,192050.0
V1,10.0,12.0,165267.33333333334
V1,10.0,13.0,80458.16666666667
V1,10.0,14.0,105203.66666666669
V1,10.0,15.0,83345.5
V1,10.0,16.0,130809.66666666669
V1,10.0,17.0,177915.16666666666
V1,10.0,18.0,15109.5
V1,10.0,19.0,109863.66666666669
V1,10.0,20.0,44001.16666666666
V1,11.0,0.0,201222.0
V1,11.0,1.0,140249.5
V1,11.0,2.0,143088.0
V1,11.0,3.0,92175.0
V1,11.0,4.0,201062.3333333333
V1,11.0,5.0,173118.0
V1,11.0,6.0,104290.83333333331
V1,11.0,7.0,97223.33333333331
V1,11.0,8.0,187771.3333333333
V1,11.0,9.0,81555.16666666667
V1,11.0,10.0,221056.8333333333
V1,11.0,11.0,0.0
V1,11.0,12.0,87817.33333333333
V1,11.0,13.0,184516.3333333333
V1,11.0,14.0,162801.0
V1,11.0,15.0,151700.66666666666
V1,11.0,16.0,132322.83333333334
V1,11.0,17.0,105052.0
V1,11.0,18.0,210816.66666666663
V1,11.0,19.0,140626.0
V1,11.0,20.0,182620.8333333333
V1,12.0,0.0,119731.33333333331
V1,12.0,1.0,58758.833333333336
V1,12.0,2.0,61597.333333333336
V1,12.0,3.0,17878.166666666668
V1,12.0,4.0,119571.66666666669
V1,12.0,5.0,87253.66666666667
V1,12.0,6.0,36398.333333333336
V1,12.0,7.0,35227.333333333336
V1,12.0,8.0,118850.16666666669
V1,12.0,9.0,30478.5
V1,12.0,10.0,152135.66666666666
V1,12.0,11.0,59471.16666666666
V1,12.0,12.0,0.0
V1,12.0,13.0,98651.5
V1,12.0,14.0,76936.66666666667
V1,12.0,15.0,82779.5
V1,12.0,16.0,50832.16666666666
V1,12.0,17.0,31077.5
V1,12.0,18.0,141895.0
V1,12.0,19.0,59135.333333333336
V1,12.0,20.0,113699.66666666669
V1,13.0,0.0,57601.833333333336
V1,13.0,1.0,110431.33333333331
V1,13.0,2.0,113269.33333333331
V1,13.0,3.0,104456.5
V1,13.0,4.0,64641.5
V1,13.0,5.0,25793.33333333333
V1,13.0,6.0,123842.16666666669
V1,13.0,7.0,113039.66666666669
V1,13.0,8.0,56401.66666666666
V1,13.0,9.0,126194.83333333331
V1,13.0,10.0,69958.5
V1,13.0,11.0,153745.16666666666
V1,13.0,12.0,105873.0
V1,13.0,13.0,0.0
V1,13.0,14.0,33204.5
V1,13.0,15.0,42991.333333333336
V1,13.0,16.0,71415.83333333333
V1,13.0,17.0,118521.33333333331
V1,13.0,18.0,61242.333333333336
V1,13.0,19.0,58942.16666666666
V1,13.0,20.0,31992.5
V1,14.0,0.0,61197.16666666666
V1,14.0,1.0,68152.0
V1,14.0,2.0,70990.0
V1,14.0,3.0,61302.833333333336
V1,14.0,4.0,61038.0
V1,14.0,5.0,22161.0
V1,14.0,6.0,80688.0
V1,14.0,7.0,78652.0
V1,14.0,8.0,73703.33333333333
V1,14.0,9.0,83040.66666666667
V1,14.0,10.0,106988.83333333331
V1,14.0,11.0,120583.0
V1,14.0,12.0,62718.833333333336
V1,14.0,13.0,39328.0
V1,14.0,14.0,0.0
V1,14.0,15.0,31488.83333333333
V1,14.0,16.0,33945.5
V1,14.0,17.0,75367.16666666667
V1,14.0,18.0,96748.66666666669
V1,14.0,19.0,25949.166666666668
V1,14.0,20.0,61475.333333333336
V1,15.0,0.0,80694.16666666667
V1,15.0,1.0,98082.33333333331
V1,15.0,2.0,100920.83333333331
V1,15.0,3.0,92108.0
V1,15.0,4.0,80534.5
V1,15.0,5.0,29196.83333333333
V1,15.0,6.0,111493.16666666669
V1,15.0,7.0,87256.33333333333
V1,15.0,8.0,46539.66666666666
V1,15.0,9.0,113845.83333333331
V1,15.0,10.0,79825.16666666667
V1,15.0,11.0,125937.16666666669
V1,15.0,12.0,93524.5
V1,15.0,13.0,52834.16666666666
V1,15.0,14.0,33460.833333333336
V1,15.0,15.0,0.0
V1,15.0,16.0,59066.833333333336
V1,15.0,17.0,106172.33333333331
V1,15.0,18.0,69585.0
V1,15.0,19.0,40783.333333333336
V1,15.0,20.0,41389.16666666666
V1,16.0,0.0,77350.5
V1,16.0,1.0,57993.333333333336
V1,16.0,2.0,60831.833333333336
V1,16.0,3.0,51144.16666666666
V1,16.0,4.0,77190.83333333333
V1,16.0,5.0,44752.5
V1,16.0,6.0,70529.83333333333
V1,16.0,7.0,68493.33333333333
V1,16.0,8.0,93908.0
V1,16.0,9.0,72882.5
V1,16.0,10.0,127194.0
V1,16.0,11.0,110424.33333333331
V1,16.0,12.0,52560.66666666666
V1,16.0,13.0,73410.66666666667
V1,16.0,14.0,34435.5
V1,16.0,15.0,50674.16666666666
V1,16.0,16.0,0.0
V1,16.0,17.0,65209.0
V1,16.0,18.0,116953.33333333331
V1,16.0,19.0,14796.666666666666
V1,16.0,20.0,88907.5
V1,17.0,0.0,109304.83333333331
V1,17.0,1.0,47676.333333333336
V1,17.0,2.0,50514.333333333336
V1,17.0,3.0,42837.833333333336
V1,17.0,4.0,109145.16666666669
V1,17.0,5.0,88637.0
V1,17.0,6.0,7135.0
V1,17.0,7.0,60187.0
V1,17.0,8.0,135988.33333333334
V1,17.0,9.0,22675.33333333333
V1,17.0,10.0,169273.83333333334
V1,17.0,11.0,102118.0
V1,17.0,12.0,41282.16666666666
V1,17.0,13.0,104653.83333333331
V1,17.0,14.0,78978.0
V1,17.0,15.0,95700.66666666669
V1,17.0,16.0,47178.0
V1,17.0,17.0,0.0
V1,17.0,18.0,159033.66666666666
V1,17.0,19.0,60851.66666666666
V1,17.0,20.0,130837.83333333331
V1,18.0,0.0,92868.33333333331
V1,18.0,1.0,156167.16666666666
V1,18.0,2.0,159005.66666666666
V1,18.0,3.0,150192.83333333334
V1,18.0,4.0,102797.66666666669
V1,18.0,5.0,81211.33333333333
V1,18.0,6.0,169578.0
V1,18.0,7.0,139710.66666666666
V1,18.0,8.0,32639.166666666668
V1,18.0,9.0,171930.66666666666
V1,18.0,10.0,14570.666666666666
V1,18.0,11.0,178391.5
V1,18.0,12.0,151609.33333333334
V1,18.0,13.0,66046.5
V1,18.0,14.0,91545.66666666669
V1,18.0,15.0,69687.5
V1,18.0,16.0,117151.66666666669
V1,18.0,17.0,164257.16666666666
V1,18.0,18.0,0.0
V1,18.0,19.0,96205.66666666669
V1,18.0,20.0,30769.83333333333
V1,19.0,0.0,87498.0
V1,19.0,1.0,55168.5
V1,19.0,2.0,58006.5
V1,19.0,3.0,48319.333333333336
V1,19.0,4.0,87338.33333333333
V1,19.0,5.0,40896.5
V1,19.0,6.0,67704.5
V1,19.0,7.0,65668.5
V1,19.0,8.0,93155.33333333331
V1,19.0,9.0,70057.16666666667
V1,19.0,10.0,126440.83333333331
V1,19.0,11.0,107599.5
V1,19.0,12.0,49735.333333333336
V1,19.0,13.0,69554.16666666667
V1,19.0,14.0,30579.5
V1,19.0,15.0,49921.0
V1,19.0,16.0,15219.833333333334
V1,19.0,17.0,62383.66666666666
V1,19.0,18.0,116200.16666666669
V1,19.0,19.0,0.0
V1,19.0,20.0,88154.33333333333
V1,20.0,0.0,69146.33333333333
V1,20.0,1.0,125269.33333333331
V1,20.0,2.0,128107.83333333331
V1,20.0,3.0,119295.0
V1,20.0,4.0,79075.16666666667
V1,20.0,5.0,48667.5
V1,20.0,6.0,138680.16666666666
V1,20.0,7.0,116138.16666666669
V1,20.0,8.0,35962.333333333336
V1,20.0,9.0,141032.83333333334
V1,20.0,10.0,43193.833333333336
V1,20.0,11.0,154819.0
V1,20.0,12.0,120711.0
V1,20.0,13.0,33503.166666666664
V1,20.0,14.0,61583.833333333336
V1,20.0,15.0,46264.0
V1,20.0,16.0,86253.83333333333
V1,20.0,17.0,133359.33333333334
V1,20.0,18.0,35100.166666666664
V1,20.0,19.0,73780.16666666667
V1,20.0,20.0,0.0
V2,0.0,0.0,0.0
V2,0.0,1.0,118545.76666666668
V2,0.0,2.0,120944.06666666668
V2,0.0,3.0,113714.13333333332
V2,0.0,4.0,14533.666666666666
V2,0.0,5.0,55885.53333333333
V2,0.0,6.0,100820.4
V2,0.0,7.0,120852.0
V2,0.0,8.0,76754.16666666667
V2,0.0,9.0,131725.56666666665
V2,0.0,10.0,92047.03333333333
V2,0.0,11.0,154131.5
V2,0.0,12.0,114857.33333333331
V2,0.0,13.0,40457.16666666666
V2,0.0,14.0,56805.43333333333
V2,0.0,15.0,63461.66666666666
V2,0.0,16.0,65982.4
V2,0.0,17.0,96430.06666666668
V2,0.0,18.0,76461.13333333333
V2,0.0,19.0,76624.6
V2,0.0,20.0,56586.1
V2,1.0,0.0,79477.6
V2,1.0,1.0,0.0
V2,1.0,2.0,10697.6
V2,1.0,3.0,43394.2
V2,1.0,4.0,79394.03333333333
V2,1.0,5.0,71997.9
V2,1.0,6.0,35129.36666666667
V2,1.0,7.0,57549.36666666666
V2,1.0,8.0,101218.0
V2,1.0,9.0,45352.63333333334
V2,1.0,10.0,128613.4
V2,1.0,11.0,91871.16666666669
V2,1.0,12.0,44537.4
V2,1.0,13.0,75825.8
V2,1.0,14.0,63528.8
V2,1.0,15.0,68161.43333333333
V2,1.0,16.0,28653.36666666667
