ClientID,LocationID,Product,Longitude,Latitude
1,13,10,-74.10242085309036,4.75498326178576
2,14,15,-74.04286304603067,4.670533071247465
3,15,15,-74.1252622610079,4.592068993439199
4,16,15,-74.10857383304489,4.671447791003892
5,17,7,-74.19694666369496,4.60614398270796
6,18,14,-74.12032773611021,4.719616298449461
7,19,7,-74.09855608111518,4.574656909087044
8,20,15,-74.13556969784736,4.666729149756288
9,21,15,-74.19808412894716,4.607050493701786
10,22,15,-74.10051281175286,4.730849555160657
11,23,15,-74.0328033058973,4.703342234821396
12,24,15,-74.02488155708741,4.726399981431184
13,25,15,-74.16128235628422,4.545020496902124
14,26,13,-74.06815337963502,4.712202539809157
15,27,15,-74.09812997909093,4.641897837229426
16,28,14,-74.05822930117878,4.709469231508864
17,29,13,-74.11449195618847,4.644935556621739
18,30,15,-74.1263339236744,4.627647852855884
19,31,7,-74.02863016260216,4.706922253672728
20,32,15,-74.09791093787979,4.727069608101003
21,33,14,-74.03023504239765,4.82110674766381
22,34,13,-74.04635545953435,4.698134415052684
23,35,13,-74.09569745308583,4.5664946742614205
24,36,14,-74.12857049812457,4.654651275045794
25,37,14,-74.14537299855951,4.68273964534648
26,38,10,-74.10681202183078,4.621644773415175
27,39,14,-74.16818791996735,4.6534956826068195
28,40,15,-74.13523889240291,4.661750713536274
29,41,15,-74.05740470220618,4.70566577616895
30,42,15,-74.11453531155153,4.495191123621336
